127.0.0.1 - - [18/Nov/2013:23:58:18 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:22 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:23 -0800] "GET /Tackit/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:23 -0800] "GET /Tackit/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:33 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:33 -0800] "GET /Tackit/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:33 -0800] "GET /Tackit/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:33 -0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/LoginVerify?login=123&passwd=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 19235
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/img/main/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/img/main/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/img/main/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/img/main/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/img/main/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2013:23:58:39 -0800] "GET /Tackit/img/main/2.jpg HTTP/1.1" 304 -
