127.0.0.1 - - [21/Nov/2013:04:45:03 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:05 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:05 -0800] "GET /Tackit/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:05 -0800] "GET /Tackit/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:14 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:14 -0800] "GET /Tackit/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:14 -0800] "GET /Tackit/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:14 -0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:15 -0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:22 -0800] "GET /Tackit/LoginVerify?login=123&passwd=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:25 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 19235
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:25 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:26 -0800] "GET /Tackit/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:26 -0800] "GET /Tackit/img/main/6.jpg HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:26 -0800] "GET /Tackit/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:26 -0800] "GET /Tackit/img/main/2.jpg HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:26 -0800] "GET /Tackit/img/main/4.jpg HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:26 -0800] "GET /Tackit/img/main/5.jpg HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:26 -0800] "GET /Tackit/img/main/3.jpg HTTP/1.1" 200 8194
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:45:26 -0800] "GET /Tackit/img/main/1.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:46:26 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 500 2195
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:46:33 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:46:36 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:46:36 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 19235
0:0:0:0:0:0:0:1 - - [21/Nov/2013:04:46:36 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:19:58 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 500 2621
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:20:07 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:20:07 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 7216
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:20:07 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:20:12 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:20:15 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:20:15 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 7216
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:20:16 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:22:17 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 500 2195
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:22:22 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:22:22 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 19395
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:22:23 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:22:29 -0800] "POST /Tackit/PinInfo HTTP/1.1" 500 1363
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:23:58 -0800] "GET /Tackit/PinInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:24:04 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:24:07 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:24:07 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 19283
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:24:07 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:24:10 -0800] "POST /Tackit/PinInfo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:24:11 -0800] "GET /Tackit/Board.jsp HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:24:25 -0800] "GET /Tackit/Board.jsp HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:24:55 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:24:59 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:24:59 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 19283
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:25:00 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:25:12 -0800] "GET /Tackit/Board?bName=Harshad+Trial+Board&bDesc=sdns&bGenre=Fun&bType=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:25:13 -0800] "GET /Tackit/Board.jsp HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:26:01 -0800] "GET /Tackit/Board.jsp HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:33:36 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 500 2195
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:33:43 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:33:46 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:33:46 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 18258
0:0:0:0:0:0:0:1 - - [21/Nov/2013:05:33:46 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:17:57 -0800] "GET /Tackit/ HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:03 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:04 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 19378
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:07 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:08 -0800] "GET /Tackit/img/thumbs/1.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:08 -0800] "GET /Tackit/img/thumbs/2.jpg HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:08 -0800] "GET /Tackit/img/thumbs/6.jpg HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:08 -0800] "GET /Tackit/img/thumbs/5.jpg HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:08 -0800] "GET /Tackit/img/thumbs/4.jpg HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:08 -0800] "GET /Tackit/img/thumbs/3.jpg HTTP/1.1" 200 8194
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:09 -0800] "GET /Tackit/img/thumbs/8.jpg HTTP/1.1" 200 3517
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:09 -0800] "GET /Tackit/img/thumbs/7.jpg HTTP/1.1" 200 7567
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:18:09 -0800] "GET /Tackit/img/thumbs/9.jpg HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:19:43 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 19260
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:19:43 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:25:34 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 500 2195
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:25:42 -0800] "GET /Tackit/ HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:25:45 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:25:45 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 20756
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:25:46 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:26:06 -0800] "POST /Tackit/PinInfo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:26:06 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 20756
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:26:06 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:28:19 -0800] "GET /Tackit/ HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:28:32 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:28:33 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 20756
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:28:34 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:28:46 -0800] "POST /Tackit/PinInfo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:28:47 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 20756
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:28:48 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:39:48 -0800] "GET /Tackit/ HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:39:51 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:39:52 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 21188
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:39:52 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:45:51 -0800] "GET /Tackit/ HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:45:57 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:45:58 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 19692
0:0:0:0:0:0:0:1 - - [21/Nov/2013:06:45:58 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
